class_name	slot_group	slot_uri	name	title	range	range_2	unit	identifier	multivalued	minimum_cardinality	maximum_cardinality	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	annotations
CommunityCompositionData	General		Sonchus.arvensis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Species		WhitespaceMinimizedString	Species						True				^.{0,250}$					
CommunityCompositionData	General		Sphaeralcea.coccinea		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Sporobolus.cryptandrus		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Sporobolus.heterolepis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Sporobolus.michauxianus		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Stachys		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Stipa.spartea		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Symphoricarpos.occidentalis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Symphyotrichum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Symphyotrichum.boreale		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Symphyotrichum.ericoides		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Symphyotrichum.falcatum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Symphyotrichum.laeve		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Symphyotrichum.lanceolatum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Taraxacum.officinale		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Thalictrum.venulosum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Thermopsis.rhombifolia		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Toadflaxlikeplant		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Toxicoscordion.venenosum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Tragopogon.dubius		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Trifolium		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Trifolium.pratense		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Trifolium.repens		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Ulmus		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Vicia		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Vicia.americana		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Viola.adunca		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Viola.vallicola		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Xanthisma.spinulosum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Zizia.aptera		decimal								True			^-?[0-9]+$					
