title	name	text	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description
Expt	Expt								
		ACTIVATE 2024 Clavet Lentil		ACTIVATE 2024 Clavet Lentil					
		ACTIVATE 2024 Hunter Lentil		ACTIVATE 2024 Hunter Lentil					
		ACTIVATE 2025 Clavet Wheat		ACTIVATE 2025 Clavet Wheat					
		ACTIVATE 2025 Hunter Wheat		ACTIVATE 2025 Hunter Wheat					
Lodging	Lodging								
		1		Upright					
		5		Prostate					
Type	Type								
		Check		Check					
		Treatment		Treatment					
